UID,ChainName,Name,Est,Address,City,St,zip,Phone,latitude,longitude,Amenities,RecordID,Web,Booking,Comments,Pin,Rating,Reviews
158436,Campground,Lums Pond State Park,60,3355 Red Lion Road,Bear,DE,19701,302-368-6989,39.550077,-75.718086,"$$$$, 68 sites, All Year, All ages, Tents, 100 ft max RV length, 59 ft elev, Accepts Big Rigs, 68 full hookups, electric, 30/50 amp, 6 amp sites, tables, grill, water, flush t, showers, dump, pet friendly, playground, store, trail, hike, 4 horse sites, horses (C)",16929,https://www.destateparks.com/,http://delawarestateparks.reserveamerica.com/campsiteCalendar.do?contractCode=DE&parkId=360119,,sp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=16929
158437,Campground,Bethany Beach Training Site,122,Delaware National Guard,Bethany Beach,DE,19930,302-326-7901,38.54702,-75.06237,"$$, 22 sites, All Year, All ages, 3 ft elev, Accepts Big Rigs, 22 full hookups, electric, 15/30/50 amp, water, dump, laundry, internet, playground, For Military Use with ID Card, Active, National Guard, Reservists, Retired, DAV, DoD Civilians, (C)",16930,https://www.de.ng.mil/Contact-Us/Bethany-Beach-Lodging/,,,mil_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=16930
158439,Campground,Tuckahoe Acres,57,Walters Bluff Rd,Dagsboro,DE,19939,302-539-1841,38.582846,-75.123083,"$$$$$, 535 sites, May-Oct, All ages, Tents, 7 ft elev, (C)",16932,,,,camp_rvt_pin,0,//www.allstays.com/Campgrounds-reviews/16932.php
158440,Campground,Dover AFB Famcamp,122,Dover AFB,Dover,DE,19901,302-677-3959,39.114034,-75.457441,"$$, 10 sites, All Year, All ages, Tents, 32 ft elev, 10 full hookups, electric, 20/30/50 amp, 9 amp sites, tables, grill, water, toilets, showers, dump, laundry, pet friendly extra rules, playground, For Military Use with ID Card, Active, National Guard, Reservists, Retired, DAV, DoD Civilians, Overflow (no utilities) up to 72 hours when all sites are filled. (C)",16933,https://docs.wixstatic.com/ugd/70db0d_9f770043b1b54df8b36d80b75b09b9fc.pdf,,,mil_rvt_pin,3,https://www.allstays.com/reviews2/review.php?LocID=16933
158441,Campground,Dover Downs Slots Casino,64,1131 North DuPont Highway,Dover,DE,19901,800-711-5882,39.186997,-75.537143,"free, All Year, RVs only, All ages, No tent, 33 ft elev, dump, Aug 2022: Currently no overnight parking. Casino overnight RV parking was allowed on north side of dump, Dec 2020: new signs saying no overnight parking (C)",16934,http://www.doverdowns.com/,,,onp_rv_pin,5,https://www.allstays.com/reviews2/review.php?LocID=16934
158442,Campground,Killens Pond State Park,60,5025 Killens Pond Rd,Felton,DE,19943,302-284-4526,38.97721,-75.534915,"$$$$, 77 sites, All Year, All ages, Tents Only sites: 17, 40 ft max RV length, 50 ft elev, Accepts Big Rigs, electric, 60 elec-water hookups, tables, grill, water, flush t, showers, dump, firewood, pet friendly, playground, store, fish, trail, hike, (C)",16935,https://www.destateparks.com/PondsRivers/KillensPond,http://delawarestateparks.reserveamerica.com/campsiteCalendar.do?contractCode=DE&parkId=360118,Mar 2023: user reports Women’s restroom and shower still closed for renovations as of 3/12/23. Project was supposed to be finished at the end of February. No alternative for showers. And a distant portapottie is the other solution. Ugh.,sp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=16935
158443,Campground,Homestead Camping,57,25165 Prettyman Rd,Georgetown,DE,19947,302-684-4278,38.728342,-75.303555,"$$$$, 55 sites, May 1 - Sep 30, All ages, Tents, 80 ft max RV length, 36 ft elev, Accepts Big Rigs, 50 pull thrus, 55 full hookups, electric, 30/50 amp, 55 amp sites, tables, water, toilets, showers, dump, RV Storage, laundry, internet, pet friendly extra rules, pool, playground, store, fish, (C)",16936,,,,camp_rvt_pin,0,https://www.allstays.com/reviews2/review.php?LocID=169
158444,Campground,Redden State Forest,57,North Of Georgetown,Georgetown,DE,19947,302-856-2893,38.689758,-75.385773,"All Year, All ages, Tents, 49 ft elev, trail, hike, (C)",16937,http://dda.delaware.gov/forestry/forest.shtml,,,camp_rvt_pin,0,//www.allstays.com/Campgrounds-reviews/16937.php
158445,Campground,Harrington Raceway and Casino,64,15 W Rider Rd,Harrington,DE,19952,302-398-4920,38.913499,-75.576264,"free, All Year, RVs only, All ages, No tent, 59 ft elev, Casino (C)",16938,http://www.harringtonraceway.com/,,,onp_rv_pin,0,https://www.allstays.com/reviews2/review.php?LocID=16938
158447,Campground,G and R Recreation Campground,57,4075 Gun and Rod Club Road,Houston,DE,19954,302-398-8108,38.90987,-75.532987,"$$$$, 222 sites, All Year, All ages, Tents Only sites: 25, 52 ft elev, Accepts Big Rigs, 14 pull thrus, 55 full hookups, electric, 142 elec-water hookups, 30/50 amp, 55 amp sites, tables, grill, water, showers, dump, RV Storage, firewood, pet friendly extra rules, pool, playground, (C)",16940,http://gnrcampground.com/,,,camp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=169
158448,Campground,Trap Pond State Park,60,33587 Baldcypress Lane,Laurel,DE,19956,302-875-5153,38.5298422,-75.47570304,"$$$$, 142 sites, Mar 1-Nov 30, All ages, Tents Only sites: 12, 40 ft max RV length, 33 ft elev, Accepts Big Rigs, electric, 130 elec-water hookups, tables, grill, water, flush t, showers, dump, laundry, firewood, pet friendly extra rules, playground, store, fish, trail, hike, boat launch, (C)",16941,https://www.destateparks.com/PondsRivers/TrapPond,http://delawarestateparks.reserveamerica.com/campsiteCalendar.do?contractCode=DE&parkId=360122,,sp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=16941
158449,Campground,Cape Henlopen State Park,60,42 Cape Henlopen Drive,Lewes,DE,19958,302-645-8983,38.7758335,-75.09929655,"$$$$, 178 sites, All Year, All ages, Tents sites: 44, 40 ft max RV length, 36 ft elev, Accepts Big Rigs, 10 pull thrus, electric, 139 elec-water hookups, 30/50/100 amp, tables, grill, water, flush t, showers, dump, laundry, firewood, pet friendly extra rules, playground, beach, store, fish, trail, hike, 8 ADA sites, 20 walk-in sites, 12 cabins (C)",16942,https://destateparks.com/Beaches/CapeHenlopen,https://delawarestateparks.reserveamerica.com/campsiteCalendar.do?contractCode=DE&parkId=360108,,sp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=16942
158451,Campground,Steamboat Landing,57,13849 Steamboat Landing Road,Lewes,DE,19958,302-645-6500,38.7980857,-75.24169346,"$$$$, 430 sites, May-Sep, All ages, 23 ft elev, water, toilets, showers, dump, laundry, pool, store, boat launch, (C)",16944,,,,camp_rvt_pin,0,http://www.allstays.com/Campgrounds-reviews/16944.php
